Experiment;Normalized;Distance;K;Accuracy;Execution Time
features_10_20;0;euclidean;1;0.909;0.4842679500579834
features_10_20;0;manhattan;1;0.909;1.2962570190429688
features_10_20;1;euclidean;1;0.909;2.0874040126800537
features_10_20;1;manhattan;1;0.909;2.876878023147583
features_20_40;0;euclidean;1;0.925;5.216376066207886
features_20_40;0;manhattan;1;0.925;8.741497993469238
features_20_40;1;euclidean;1;0.925;12.171833992004395
features_20_40;1;manhattan;1;0.925;15.628078937530518
features_30_60;0;euclidean;1;0.924;21.696444034576416
features_30_60;0;manhattan;1;0.924;29.243728160858154
features_30_60;1;euclidean;1;0.924;36.99121618270874
features_30_60;1;manhattan;1;0.924;44.810467004776
features_46_36;0;euclidean;1;0.925;51.924700021743774
features_46_36;0;manhattan;1;0.925;58.97008991241455
features_46_36;1;euclidean;1;0.925;65.87645411491394
features_46_36;1;manhattan;1;0.925;72.8232581615448
features_81_99;0;euclidean;1;0.927;96.44419288635254
features_81_99;0;manhattan;1;0.927;130.96301794052124
features_81_99;1;euclidean;1;0.927;165.33237195014954
features_81_99;1;manhattan;1;0.927;200.14242815971375
